"longitude","latitude","COUNTRY","MeanTemp","AnnPrec","soilclass","sand","silt","clay","cec","ph_cacl2","toc"
-3.6325,51.5561,"UNK",9.1,1277,"l",64,25.4,10.6,13.3,4.85,4.4
-3.6528,50.6053,"UNK",9.5,979,"l",55,35.4,9.6,17.8,5.48,3.4
-3.6572,42.4372,"SPA",10.1,617,"s",27.7,38.3,34,33.9,7.41,2
-3.6667,36.9356,"SPA",13.6,543,"m",58.8,20.9,20.3,22.2,7.22,0.8
-3.7189,56.6481,"UNK",7.9,870,"l",68.2,25.5,6.4,14.1,6.33,2.6
-3.7392,39.6994,"SPA",13.5,444,"l",70.6,15.4,14,23.1,7.43,0.6
-3.7442,40.1414,"SPA",14.1,429,"s",47,23.4,29.6,40.4,7.64,0.8
-3.7483,50.9842,"UNK",9.6,1143,"l",68.5,21,10.5,14.6,5.08,3.7
-3.7608,37.3856,"SPA",13.9,578,"s",41,25.1,33.9,23.1,7.37,1.2
-3.7626,57.2988,"UNK",6.7,833,"l",71.9,21.5,6.6,17.8,5.72,4.8
-3.766,47.9058,"FRA",11.4,997,"l",48,41.6,10.4,14,4.77,2.6
-3.7918,53.1309,"UNK",9.6,884,"m",43.9,36.7,19.3,14.7,5.61,2.7
-3.7969,42.8839,"SPA",9.8,835,"m",38.4,41.1,20.5,18.5,7.46,1
-3.8325,50.2936,"UNK",10,977,"m",51.5,32.7,15.8,16.4,5.03,2.6
-3.846,48.3463,"FRA",10.3,1073,"l",49.5,43.4,7.2,15.5,5.22,4
-3.8461,37.8244,"SPA",17.1,534,"ss",23.1,28.3,48.6,29.5,7.61,0.6
-3.8611,43.3167,"SPA",13.9,994,"l",59.7,26.9,13.4,13.8,6.16,1.5
-3.9158,54.9923,"UNK",8.2,1159,"l",60.2,31.6,8.1,15.1,5.35,3.9
-3.9196,52.4147,"UNK",9.1,1217,"m",54.4,28.2,17.4,10.2,5.13,2.5
-3.9253,56.3778,"UNK",8.1,1026,"l",53.7,34,12.3,9.4,5.24,2.6
-3.938,52.7224,"UNK",8.8,1180,"l",63.2,26.6,10.3,10.1,4.36,6.1
-3.985,51.8967,"UNK",10,1165,"m",54.2,29.7,16.1,14.9,5.37,4.6
-4.0483,38.7422,"SPA",14.8,480,"m",55.8,24.6,19.6,28.8,7.48,1.5
-4.05,41.4567,"SPA",11.4,459,"m",43.5,32.2,24.2,26.3,7.23,4.4
-4.0508,41.0369,"SPA",10.7,494,"m",59.8,22.2,18,21,7.2,1.3
-4.0524,55.5242,"UNK",7.3,1292,"ll",76.4,19.9,3.7,12,4.97,5.6
-4.0597,38.4639,"SPA",14.9,537,"m",52.7,32.1,15.2,11.6,5.51,1.4
-4.081,55.948,"UNK",8.2,1152,"l",69.3,20.2,10.5,13.4,5.48,5.4
-4.1264,39.14,"SPA",14.2,450,"m",37.5,42.2,20.4,8.8,4.2,0.7
-4.1339,41.9161,"SPA",11,487,"s",47.7,25.9,26.4,30.4,7.19,2.4
-4.1884,57.721,"UNK",7.9,747,"ll",60.5,38.4,1,17.6,5.21,11
-4.2035,58.4891,"UNK",8.1,848,"l",74.2,20.5,5.3,17.8,5.48,6.5
-4.22,39.6192,"SPA",13.6,439,"m",60,20,20,10,5.46,0.5
-4.2933,42.3603,"SPA",11.2,554,"m",44.1,31.9,24,27.5,7.47,0.7
-4.3083,36.9156,"SPA",16.4,535,"s",36.5,36.7,26.7,15.1,7.05,0.5
-4.3178,42.7806,"SPA",9.9,739,"l",47.6,40.1,12.4,6.9,4.43,1.5
-4.3325,37.3292,"SPA",15,618,"s",33.4,28.3,38.3,29.4,7.52,3.3
-4.3339,38.3242,"SPA",15,589,"m",39.2,39.3,21.5,11.1,4.45,1.1
-4.3603,40.0447,"SPA",14.9,369,"s",41,28.5,30.5,23,7.44,0.8
-4.3903,50.9178,"UNK",9.8,1088,"l",47.9,37.5,14.6,13.5,5.21,2.4
-4.4131,51.8513,"UNK",10.1,1002,"m",46.4,32.5,21.1,17.9,6.71,2.6
-4.4219,52.1569,"UNK",9.2,1047,"l",54.2,31,14.8,16.4,5.27,3.8
-4.4412,58.2816,"UNK",8,901,"ll",70.3,26.7,3,15.3,5.04,3.2
-4.4503,50.4722,"UNK",10,1044,"m",43.3,40.9,15.8,19.1,6.03,3.7
-4.4725,43.3061,"SPA",14,836,"l",62.3,30.6,7.1,18.4,5.42,3
-4.513,48.2705,"FRA",11.2,1104,"l",55.3,37.6,7.1,16.9,4.7,2.8
-4.5285,53.2929,"UNK",9.9,870,"l",60.6,34.2,5.2,25.9,6.92,5.5
-4.5381,40.9294,"SPA",11.7,399,"s",49.4,25.5,25.1,28.6,7.05,2.4
-4.5568,54.7636,"UNK",8.4,1084,"l",55.7,34.1,10.3,16.8,5.78,4.2
-4.568,57.5625,"UNK",8.1,955,"l",61.8,29.7,8.5,7.4,5.12,1.4
-4.5819,55.5165,"UNK",8.2,1111,"l",75.1,19.4,5.4,14.1,4.63,2.9
-4.6125,52.8972,"UNK",9.6,932,"ll",74.8,20.7,4.5,12,7.02,2.3
-4.6653,39.0667,"SPA",14.8,479,"ll",79.8,19.3,1,7.2,4.52,1.3
-4.7266,56.885,"UNK",7.2,1604,"l",42,49.2,8.8,12.5,4.25,3.3
-4.73,38.6047,"SPA",15.8,538,"m",48.5,29.9,21.6,16.4,5.36,1.2
-4.7363,56.0555,"UNK",8.1,1636,"l",52.4,37,10.6,10.7,4.84,2.3
-4.7434,58.5638,"UNK",8.5,974,"l",51.3,37.9,10.9,10.8,4.42,3.7
-4.75,57.3501,"UNK",6.7,1357,"ll",65.9,31.3,2.8,16.2,4.66,3.3
-4.7575,41.7983,"SPA",11.6,444,"l",60.2,28.3,11.4,20.6,7.42,3.8
-4.7583,55.0917,"UNK",8.1,1234,"l",71,22.1,6.9,12.8,4.97,6.7
-4.7783,36.7731,"SPA",17.5,618,"s",31.6,29.7,38.6,32.8,7.38,0.7
-4.7792,39.5442,"SPA",13.2,478,"l",51.8,34.6,13.6,25.1,5.58,4.8
-4.8164,37.1803,"SPA",16.4,657,"l",68.3,19.3,12.4,20.9,7.37,0.9
-4.8847,42.255,"SPA",11.5,499,"m",49.2,29.1,21.6,11.6,7.64,0.6
-4.9014,50.4961,"UNK",10.2,1033,"m",46.9,36.4,16.8,21.7,5.81,3
-4.9213,56.2744,"UNK",8.7,1689,"ll",81.2,15.5,3.4,10.6,5.22,3.8
-4.9361,39.9469,"SPA",15.3,364,"m",67,17.5,15.6,7,3.93,0.6
-4.9734,51.8403,"UNK",9.8,869,"m",54.9,26.5,18.6,18.4,5.17,4.5
-4.9808,42.6972,"SPA",10.3,654,"ll",82.5,14.7,2.8,12.1,5.74,1.2
-5.0506,43.0181,"SPA",9.3,812,"m",51.7,27.6,20.7,19.1,5.14,2.7
-5.0947,38.1206,"SPA",14.9,674,"m",31.2,48,20.8,10.9,4.71,0.7
-5.1389,38.4653,"SPA",15.4,597,"s",34.1,39,26.9,13,5.95,0.7
-5.1461,40.8558,"SPA",11.3,410,"l",73.4,12.8,13.8,10,4.51,0.9
-5.1919,50.115,"UNK",9.7,1083,"l",52.8,38.6,8.6,14,6.09,3.1
-5.2347,41.2783,"SPA",12,374,"m",68.2,12,19.8,16.4,5.35,0.6
-5.2422,58.1551,"UNK",8.3,1109,"ll",70,27.7,2.3,20.2,5.13,6
-5.2453,36.7433,"SPA",14.9,781,"ss",28.1,29.3,42.6,35.9,7.61,2.1
-5.2669,38.9889,"SPA",15.4,508,"l",71.7,18.8,9.5,12.5,5.62,1
-5.3231,39.4244,"SPA",14.5,482,"m",38.7,40.6,20.7,14.1,5.78,1.9
-5.3444,41.7414,"SPA",12.2,387,"m",77.8,9.6,12.6,15.6,6.79,0.9
-5.4097,37.1331,"SPA",16.8,677,"s",60.8,8.2,31,22.3,7.39,0.9
-5.4525,42.1756,"SPA",11.6,465,"ll",81.7,8.6,9.8,10.8,6.26,0.5
-5.4756,39.8728,"SPA",15.9,388,"m",80.8,3.5,15.6,11.3,5.31,0.6
-5.4911,37.5311,"SPA",17.6,617,"l",70.6,20.5,8.9,7.2,5.8,0.8
-5.5692,42.6475,"SPA",10.9,590,"l",78.8,15.8,5.5,11.4,4.39,0.7
-5.5889,40.3122,"SPA",11.2,532,"ll",74.8,22.1,3.1,5.7,4.12,2.3
-5.5942,50.1036,"UNK",9.9,1103,"l",58.7,30.5,10.8,14.2,4.63,3.4
-5.6156,55.8978,"UNK",8.6,1663,"ll",80.1,17.3,2.6,11.4,5.73,2.7
-5.6684,57.8156,"UNK",8.4,1266,"ll",69.3,26.2,4.4,12.2,4.09,4.8
-5.68,38.0153,"SPA",15,685,"m",33.4,49,17.6,7.8,5.87,0.6
-5.6892,55.5696,"UNK",8.2,1526,"ll",76.7,19.3,4.1,8.7,5.06,2.6
-5.6997,40.7511,"SPA",11.4,472,"m",51.6,28.5,20,17.4,4.9,1
-5.746,56.7624,"UNK",8.9,1728,"ll",72.9,26,1.1,9.3,4.69,4.8
-5.7811,38.4744,"SPA",15.8,586,"m",50.3,34.2,15.5,12.5,4.62,0.5
-5.8028,36.1631,"SPA",17.2,820,"s",27.9,40.5,31.5,26.7,7.21,1.7
-5.8061,43.4961,"SPA",13.6,842,"m",40.5,38.3,21.2,14.7,6.49,1.9
-5.8142,43.1086,"SPA",12.2,772,"m",49.6,30,20.4,25.6,6.46,6
-5.8414,38.9164,"SPA",16.6,492,"m",51.1,33.8,15.1,12.4,4.1,0.7
-5.8645,56.3624,"UNK",9,1730,"ll",67.8,31.2,1,40,6.09,14
-5.868,57.093,"UNK",8.4,1760,"ll",59.1,39.6,1.3,17.2,4.94,11
-5.9161,36.6342,"SPA",17.3,671,"s",35,38.8,26.2,29.1,7.42,0.7
-5.9308,41.6417,"SPA",11.9,431,"m",43.5,39.6,16.9,8,4.33,0.5
-5.9328,54.4631,"UNK",8.6,1047,"l",54.3,32.2,13.5,23.2,4.82,3.8
-5.9425,39.3392,"SPA",15.5,503,"l",57.5,29.7,12.8,5.5,4.57,0.5
-5.9469,54.1071,"UNK",8.9,1074,"ll",76,19.3,4.7,15.1,5.1,5.4
-5.9756,37.0075,"SPA",17.8,595,"s",30.9,30.5,38.6,39.4,7.98,0.7
-6.0189,39.7889,"SPA",16.1,448,"m",58.8,25.7,15.5,17.3,6.1,1.4
-6.0461,42.0803,"SPA",11.5,519,"m",39.4,37.6,23,16.2,5.32,0.8
-6.0483,37.4467,"SPA",18.5,562,"s",43.1,20.7,36.2,28.7,7.49,0.9
-6.1542,42.5294,"SPA",9.9,705,"l",60.1,33.5,6.4,6.9,3.99,1.1
-6.1571,54.9089,"UNK",8.1,1068,"ll",53.6,43.1,3.3,32.2,6.38,8.9
-6.1664,40.2036,"SPA",15.1,487,"m",40,41.2,18.8,12.8,4.38,1.2
-6.1673,53.085,"IRL",8.5,1113,"l",56,29.3,14.6,20.4,5.79,4.1
